datetime,load1,load2,load3,load4,load5,load6,load7,load8,load9,load10,load11,load12,load13,load14,load15,load16,load17,load18,load19,load20,load21,load22,load23,load24,load25,load26,load27,load28,load29
1/1/22 0:00,0.234691835,0.278016439,0.024159275,0.408416146,0.408416146,0.182794023,0.247935781,0.374615669,0.036873001,0.242728778,0.182794023,0.182794023,0.278016439,0.278016439,0.376915512,0.501513843,0.524221841,0.045517239,0.266993685,0.38988243,0.306705157,0.30194205,0.14755377,0.082155835,0.136332401,0.144977886,0.213221845,0.239493763,0.193267999
1/1/22 0:15,0.229034317,0.277619014,0.024159275,0.392054325,0.392054325,0.181302277,0.232817503,0.343425457,0.04053939,0.241245029,0.181302277,0.181302277,0.277619014,0.277619014,0.376915512,0.498064594,0.505615788,0.046045375,0.26619813,0.399502145,0.308671604,0.303114296,0.148934104,0.097182808,0.136332401,0.146372651,0.173239912,0.233662589,0.193267999
1/1/22 0:30,0.227490826,0.277022846,0.024159275,0.369268307,0.369268307,0.179207733,0.179407958,0.29385759,0.039235126,0.238556434,0.179207733,0.179207733,0.277022846,0.277022846,0.376915512,0.496339969,0.482847095,0.075016658,0.267865688,0.399692041,0.35362541,0.259460434,0.149687709,0.101314806,0.136332401,0.145733783,0.174210008,0.241365778,0.193267999
1/1/22 0:45,0.222013942,0.276474464,0.024159275,0.344553544,0.344553544,0.177752623,0.167317639,0.2662247,0.035994627,0.235478116,0.177752623,0.177752623,0.276474464,0.276474464,0.376915512,0.496595541,0.496598708,0.076159178,0.269415852,0.408608955,0.537317493,0.161373515,0.148217606,0.395718741,0.136332401,0.146640211,0.174862199,0.236167892,0.193267999
1/1/22 1:00,0.195736465,0.277174515,0.023932918,0.340455405,0.340455405,0.178954511,0.169289821,0.269547591,0.03923472,0.235907571,0.178954511,0.178954511,0.277174515,0.277174515,0.376915512,0.496723327,0.485551151,0.086567053,0.196867523,0.47090411,0.551835923,0.197060286,0.143490359,0.213798869,0.12900277,0.110668784,0.104342272,0.240007069,0.176711456
1/1/22 1:15,0.193091067,0.278060909,0.023932918,0.33903255,0.33903255,0.180844106,0.172203461,0.273075626,0.043754954,0.236395114,0.180844106,0.180844106,0.278060909,0.278060909,0.376915512,0.496978899,0.53365114,0.092998668,0.222107224,0.680210252,0.510680222,0.259856771,0.144399332,0.172144363,0.1068322,0.109369417,0.105389126,0.261747911,0.176711456
1/1/22 1:30,0.193435559,0.278921556,0.023932918,0.339446109,0.339446109,0.182190917,0.1751212,0.276552421,0.048647441,0.236850762,0.182190917,0.182190917,0.278921556,0.278921556,0.376915512,0.497106685,0.52396655,0.093347734,0.19282222,0.73167508,0.37030721,0.194322282,0.142693117,0.177517227,0.1068322,0.110013759,0.10612717,0.254669803,0.176711456
1/1/22 1:45,0.191517371,0.279590884,0.023932918,0.341323621,0.341323621,0.183897182,0.177986846,0.280028504,0.053365771,0.237309588,0.183897182,0.183897182,0.279590884,0.279590884,0.376915512,0.497362257,0.479847624,0.092036008,0.203956208,0.7418917,0.490485811,0.122229404,0.116304866,0.179872876,0.1068322,0.111222556,0.106449093,0.255731097,0.176711456
1/1/22 2:00,0.192126068,0.280457674,0.02382981,0.348058098,0.348058098,0.185302831,0.184314724,0.28900691,0.059607132,0.237830775,0.185302831,0.185302831,0.280457674,0.280457674,0.376915512,0.497490043,0.519357285,0.06657783,0.191724085,0.458851345,0.458086102,0.079959362,0.116357285,0.133950353,0.10829749,0.097017523,0.11555655,0.248685062,0.15447911
1/1/22 2:15,0.191746793,0.281393433,0.082453436,0.356278398,0.356278398,0.186780479,0.190518202,0.298174801,0.065750828,0.238474709,0.186780479,0.186780479,0.281393433,0.281393433,0.376915512,0.497745615,0.498795304,0.068697345,0.277280651,0.401330879,0.350434973,0.07745174,0.116649807,0.191870709,0.112530601,0.097077778,0.127308636,0.236196955,0.15447911
1/1/22 2:30,0.189942295,0.28235974,0.112208317,0.365644928,0.365644928,0.188336905,0.196808229,0.307617474,0.071616329,0.239301616,0.188336905,0.188336905,0.28235974,0.28235974,0.376915512,0.497873401,0.53843889,0.067629514,0.323390482,0.402555347,0.426157989,0.063098489,0.116729363,0.240744348,0.112978177,0.082592338,0.128131818,0.235602517,0.174357647
1/1/22 2:45,0.192108579,0.282888484,0.02382981,0.375772955,0.375772955,0.189946879,0.256457193,0.31767056,0.077259923,0.240215439,0.189946879,0.189946879,0.282888484,0.282888484,0.376915512,0.498128974,0.533042588,0.066507033,0.196616926,0.389942151,0.507249016,0.063098489,0.088655642,0.02485853,0.113555254,0.08268293,0.128387791,0.235172789,0.174357647
