Type,Size,Stranding,Material,Diam,GMRac,rac,normamps,GMRunits,runits,Size_Material,,,
300_CON LAY_AA,300,CON LAY,AA,0.629,0.0198,0.342,350,ft,mi,300_AA,,,
336.4_26/7_ACSR,336.4,26/7,ACSR,0.721,0.0244,0.306,530,ft,mi,336.4_ACSR,,,
336.4_30/7_ACSR,336.4,30/7,ACSR,0.741,0.0255,0.306,530,ft,mi,336.4_ACSR,,,
336.4_CLASS A_AA,336.4,CLASS A,AA,0.666,0.021,0.305,410,ft,mi,336.4_AA,,,
350_12 STRD_Copper,350,12 STRD,Copper,0.71,0.0225,0.1845,670,ft,mi,350_Copper,,,
350_19 STRD_Copper,350,19 STRD,Copper,0.679,0.0214,0.1845,670,ft,mi,350_Copper,,,
350_CON LAY_AA,350,CON LAY,AA,0.679,0.0214,0.294,399,ft,mi,350_AA,,,
397.5_26/7_ACSR,397.5,26/7,ACSR,0.783,0.0265,0.259,590,ft,mi,397.5_ACSR,,,
397.5_30/7_ACSR,397.5,30/7,ACSR,0.806,0.0278,0.259,600,ft,mi,397.5_ACSR,,,
397.5_CLASS A_AA,397.5,CLASS A,AA,0.724,0.0228,0.258,440,ft,mi,397.5_AA,,,
400_19 STRD_Copper,400,19 STRD,Copper,0.726,0.0229,0.1619,730,ft,mi,400_Copper,,,
450_19 STRD_Copper,450,19 STRD,Copper,0.77,0.0243,0.1443,780,ft,mi,450_Copper,,,
450_CON LAG_AA,450,CON LAG,AA,0.77,0.0243,0.229,450,ft,mi,450_AA,,,
477_26/7_ACSR,477,26/7,ACSR,0.858,0.029,0.216,670,ft,mi,477_ACSR,,,
477_30/7_ACSR,477,30/7,ACSR,0.883,0.0304,0.216,670,ft,mi,477_ACSR,,,
477_CLASS A_AA,477,CLASS A,AA,0.795,0.0254,0.216,510,ft,mi,477_AA,,,
500_19 STRD_Copper,500,19 STRD,Copper,0.811,0.0256,0.1303,840,ft,mi,500_Copper,,,
500_37 STRD_Copper,500,37 STRD,Copper,0.814,0.026,0.1303,840,ft,mi,500_Copper,,,
500_CON LAY_AA,500,CON LAY,AA,0.813,0.026,0.206,483,ft,mi,500_AA,,,
556.5_26/7_ACSR,556.5,26/7,ACSR,0.927,0.0313,0.1859,730,ft,mi,556.5_ACSR,,,
556.5_30/7_ACSR,556.5,30/7,ACSR,0.953,0.0328,0.1859,730,ft,mi,556.5_ACSR,,,
556.5_CLASS A_AA,556.5,CLASS A,AA,0.858,0.0275,0.186,560,ft,mi,556.5_AA,,,
600_37 STRD_Copper,600,37 STRD,Copper,0.891,0.0285,0.1095,940,ft,mi,600_Copper,,,
600_CON LAY_AA,600,CON LAY,AA,0.891,0.0285,0.172,520,ft,mi,600_AA,,,
605_26/7_ACSR,605,26/7,ACSR,0.966,0.0327,0.172,760,ft,mi,605_ACSR,,,
605_54/7_ACSR,605,54/7,ACSR,0.953,0.0321,0.1775,750,ft,mi,605_ACSR,,,
636_27/7_ACSR,636,27/7,ACSR,0.99,0.0335,0.1618,780,ft,mi,636_ACSR,,,
636_30/19_ACSR,636,30/19,ACSR,1.019,0.0351,0.1618,780,ft,mi,636_ACSR,,,
636_54/7_ACSR,636,54/7,ACSR,0.977,0.0329,0.1688,770,ft,mi,636_ACSR,,,
636_CLASS A_AA,636,CLASS A,AA,0.918,0.0294,0.163,620,ft,mi,636_AA,,,
666.6_54/7_ACSR,666.6,54/7,ACSR,1,0.0337,0.1601,800,ft,mi,666.6_ACSR,,,
700_37 STRD_Copper,700,37 STRD,Copper,0.963,0.0308,0.0947,1040,ft,mi,700_Copper,,,
700_CON LAY_AA,700,CON LAY,AA,0.963,0.0308,0.148,580,ft,mi,700_AA,,,
715.5_26/7_ACSR,715.5,26/7,ACSR,1.051,0.0355,0.1442,840,ft,mi,715.5_ACSR,,,
715.5_30/19_ACSR,715.5,30/19,ACSR,1.081,0.0372,0.1442,840,ft,mi,715.5_ACSR,,,
715.5_54/7_ACSR,715.5,54/7,ACSR,1.036,0.0349,0.1482,830,ft,mi,715.5_ACSR,,,
715.5_CLASS A_AA,715.5,CLASS A,AA,0.974,0.0312,0.145,680,ft,mi,715.5_AA,,,
750_37 STRD_AA,750,37 STRD,AA,0.997,0.0319,0.0888,1090,ft,mi,750_AA,,,
750_CON LAY_AA,750,CON LAY,AA,0.997,0.0319,0.139,602,ft,mi,750_AA,,,
795_26/7_ACSR,795,26/7,ACSR,1.108,0.0375,0.1288,900,ft,mi,795_ACSR,,,
795_30/19_ACSR,795,30/19,ACSR,1.14,0.0393,0.1288,910,ft,mi,795_ACSR,,,
795_54/7_ACSR,795,54/7,ACSR,1.093,0.0368,0.1378,900,ft,mi,795_ACSR,,,
795_CLASS A_AA,795,CLASS A,AA,1.026,0.0328,0.131,720,ft,mi,795_AA,,,
