bus1,bus2,xfmr,kV1,kV2,kVA1,kVA2,conn1,conn2,phases,windings,R,X,nll,wnd1_terms,wnd2_terms,wnd3_terms
src_node,n0,3p_120_12.47_2000_dw,120,12.47,2000,2000,delta,wye,3,2,0.358,5.636,0.1,1.2.3,1.2.3,
n14,n24,3p_12.47_0.416_150_wd,12.47,0.416,150,150,wye,delta,3,2,1,1.9,0.18,1.2.3,1.2.3,
n15,n9,3p_12.47_0.416_150_wd,12.47,0.416,150,150,wye,delta,3,2,1,1.9,0.18,1.2.3,1.2.3,
n17,n5,1p_12.47_0.416_75_dd,12.47,0.416,75,75,delta,delta,1,2,1,2,0.18,1.3,1.3,
n31,n28,3p_12.47_0.416_150_wd,12.47,0.416,150,150,wye,delta,3,2,1,1.9,0.18,1.2.3,1.2.3,
n20,n39,1p_7.2_0.24_50_ww,7.2,0.24,50,50,wye,wye,1,2,1.2,2,0.2,2,2,
n23,n44,3p_12.47_0.416_300_wd,12.47,0.416,300,300,wye,delta,3,2,0.7,3.21,0.12,1.2.3,1.2.3,
